model,fold_index,balanced_accuracy,auroc,sensitivity,specificity,n_samples,n_pd,n_hc
LR,0,0.655966,0.725505,0.718182,0.593750,1562,1210,352
LR,1,0.652454,0.696401,0.642975,0.661932,1562,1210,352
LR,2,0.620997,0.666066,0.574380,0.667614,1562,1210,352
LR,3,0.656069,0.730414,0.684298,0.627841,1562,1210,352
LR,4,0.634767,0.695887,0.599838,0.669697,1562,1232,330
RF,0,0.525336,0.796526,0.996694,0.053977,1562,1210,352
RF,1,0.521384,0.736304,0.985950,0.056818,1562,1210,352
RF,2,0.536364,0.733006,0.981818,0.090909,1562,1210,352
RF,3,0.519370,0.779622,0.987603,0.051136,1562,1210,352
RF,4,0.548133,0.754972,0.978084,0.118182,1562,1232,330
CNN,0,0.653564,0.722291,0.744628,0.562500,1562,1210,352
CNN,1,0.575775,0.638179,0.714050,0.437500,1562,1210,352
CNN,2,0.598037,0.634499,0.616529,0.579545,1562,1210,352
CNN,3,0.677944,0.741736,0.657025,0.698864,1562,1210,352
CNN,4,0.665666,0.723659,0.640422,0.690909,1562,1232,330
